Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date,Screener
TNYA,"Tenaya Therapeutics, Inc.",5.68,0.55,10.72,528117,464558,386870000,2024-02-10T06:16:18.368115,Winners
BTBT,"Bit Digital, Inc.",3.04,0.3,10.95,12864000,8352000,275904000,2024-02-10T06:16:18.368115,Winners
AHG,Akso Health Group,1.9,0.26,15.85,53227,176968,202975000,2024-02-10T06:16:18.368115,Winners
PYXS,"Pyxis Oncology, Inc.",4.48,0.77,20.75,1617000,419210,198567000,2024-02-10T06:16:18.368115,Winners
ABEO,Abeona Therapeutics Inc.,6.2,0.92,17.42,830541,245195,153594000,2024-02-10T06:16:18.368115,Winners
CRVS,"Corvus Pharmaceuticals, Inc.",2.215,0.215,10.75,1020000,198738,108620000,2024-02-10T06:16:18.368115,Winners
ZDGE,"Zedge, Inc.",4.74,0.94,24.74,294605,44273,68041000,2024-02-10T06:16:18.368115,Winners
PALT,"Paltalk, Inc.",4.84,0.56,13.08,80773,96752,44635000,2024-02-10T06:16:18.368115,Winners
EBFI,ECO BRIGHT FUTURE INC,2.35,0.285,13.8,64629,13936,0,2024-02-10T06:16:18.368115,Winners
PCOGF,Pancontinental Energy NL,0.0125,0.0035,38.89,2000,45748,100753000,2023-12-14T06:18:06.864898,Winners
NULGF,NuLegacy Gold Corporation,0.0239,0.004,20.1,148819,303022,15214000,2023-12-14T06:18:06.864898,Winners
CAMZF,Camino Minerals Corporation,0.0539,0.0139,34.75,7000,25950,9342000,2023-12-14T06:18:06.864898,Winners
DROR,"Dror Ortho-Design, Inc.",0.0209,0.0078,59.54,83379,36231,10355000,2023-12-14T06:18:06.864898,Winners
CTCGF,C2C Gold Corp.,0.0547,0.0229,72.01,60000,33339,6329000,2023-12-14T06:18:06.864898,Winners
RKFL,"RocketFuel Blockchain, Inc.",0.2069,0.035,20.36,39375,16766,7367000,2023-12-14T06:18:06.864898,Winners
GRHI,"Gold Rock Holdings, Inc.",0.0249,0.0093,59.62,32500,130452,5753000,2023-12-14T06:18:06.864898,Winners
AWON,"A1 Group, Inc.",0.0103,0.0022,26.38,24360,281761,4246000,2023-12-14T06:18:06.864898,Winners
CBMJ,Conservative Broadcast Media & Journalism Inc.,0.122,0.0374,44.21,3358,10693,4650000,2023-12-14T06:18:06.864898,Winners
NILA,Nilam Resources Inc.,0.0367,0.0068,22.74,37500,36243,2057000,2023-12-14T06:18:06.864898,Winners
WRIT,"WRIT Media Group, Inc.",0.015,0.0034,29.31,60002,26320,853771,2023-12-14T06:18:06.864898,Winners
PPCB,"Propanc Biopharma, Inc.",0.0155,0.0067,75.34,13902000,545293,345014,2023-12-14T06:18:06.864898,Winners
MHHC,MHHC Enterprises Inc.,0.0998,0.0272,37.49,10257,29905,91610000,2023-12-14T06:18:06.864898,Winners
SYSX,"Sysorex, Inc.",0.0266,0.0062,30.39,16658,68278,66086,2023-12-14T06:18:06.864898,Winners
EBFI,ECO BRIGHT FUTURE INC,0.75,0.25,50.0,5000,13708,0,2023-12-14T06:18:06.864898,Winners
NREG,"NewRegen, Inc.",0.0195,0.0035,21.87,278559,1245000,0,2023-12-14T06:18:06.864898,Winners
CORZQ,"Core Scientific, Inc.",0.975,0.27,38.3,3679000,1156000,376371000,2023-12-19T06:18:06.623043,Winners
RMLFF,Rusoro Mining Ltd.,0.44,0.0849,23.91,2677000,158692,258841000,2023-12-19T06:18:06.623043,Winners
NUKK,Nukkleus Inc.,0.195,0.045,30.0,22810,12811,71599000,2023-12-19T06:18:06.623043,Winners
EAWD,Energy and Water Development Corp.,0.098,0.0281,40.2,1118000,254935,21823000,2023-12-19T06:18:06.623043,Winners
AHG,Akso Health Group,0.745,0.145,24.17,115963,66938,17035000,2023-12-19T06:18:06.623043,Winners
TRRXF,TNR Gold Corp.,0.05,0.009,21.95,60500,11753,9436000,2023-12-19T06:18:06.623043,Winners
SNBH,Sentient Brands Holdings Inc.,0.1488,0.0888,148.04,5000,15931,8235000,2023-12-19T06:18:06.623043,Winners
IONI,I-ON Digital Corp.,0.284,0.0575,25.39,9778,13651,7784000,2023-12-19T06:18:06.623043,Winners
ZHUD,Zhuding International Limited,0.013,0.0028,27.45,348085,891335,5215000,2023-12-19T06:18:06.623043,Winners
BMCS,"BioTech Medics, Inc.",0.03,0.01,50.0,36650,36015,6071000,2023-12-19T06:18:06.623043,Winners
BRZV,Fitvia Corp.,0.105,0.0225,27.27,54480,29296,3695000,2023-12-19T06:18:06.623043,Winners
DZCA,"DrazCanna, Inc.",0.4675,0.2175,87.0,100,17693,4120000,2023-12-19T06:18:06.623043,Winners
REGRF,Graph Blockchain Inc.,0.0257,0.0137,114.17,31604,20590,1798000,2023-12-19T06:18:06.623043,Winners
CEOS,"Psykey, Inc.",0.028,0.012,75.0,7544000,505057,14154,2023-12-19T06:18:06.623043,Winners
GRCL,Gracell Biotechnologies Inc.,5.41,0.54,11.09,931272,508200,518962000,2023-12-13T06:18:11.203518,Winners
KALV,"KalVista Pharmaceuticals, Inc.",9.76,0.97,11.04,540068,291403,337293000,2023-12-13T06:18:11.203518,Winners
NGLD,Nevada Canyon Gold Corp.,3.2,0.48,17.65,6540,10014,78784000,2023-12-13T06:18:11.203518,Winners
BTCM,BIT Mining Limited,4.3,0.5,13.16,206939,70301,47783000,2023-12-13T06:18:11.203518,Winners
NEPH,"Nephros, Inc.",2.57,0.38,17.35,93150,11404,26946000,2023-12-13T06:18:11.203518,Winners
SMTSF,Sierra Metals Inc.,0.65,0.1225,23.22,28696,80616,148196000,2024-01-30T06:17:43.276776,Winners
GKPRF,Gatekeeper Systems Inc.,0.4609,0.0897,24.17,265675,21931,43071000,2024-01-30T06:17:43.276776,Winners
MDWK,"MDWerks, Inc.",0.202,0.042,26.25,7500,32160,25753000,2024-01-30T06:17:43.276776,Winners
FUUN,"FutureNet, Inc.",0.0377,0.0117,45.0,1500,10213,16965000,2024-01-30T06:17:43.276776,Winners
SENR,"Strategic Environmental & Energy Resources, Inc.",0.1,0.0303,43.47,148464,56601,6509000,2024-01-30T06:17:43.276776,Winners
JADA,Jade Art Group Inc.,0.015,0.004,36.36,20691,27777,1200000,2024-01-30T06:17:43.276776,Winners
OSCR,"Oscar Health, Inc.",9.01,0.95,11.79,3190000,1730000,2037000000,2023-12-22T06:17:58.761920,Winners
IREN,Iris Energy Limited,7.68,2.15,38.88,18568000,2717000,515254000,2023-12-22T06:17:58.761920,Winners
HIVE,HIVE Digital Technologies Ltd.,4.9,0.74,17.79,7383000,1974000,431083000,2023-12-22T06:17:58.761920,Winners
CORZQ,"Core Scientific, Inc.",1.095,0.145,15.26,2127000,1266000,422694000,2023-12-22T06:17:58.761920,Winners
IVVD,"Invivyd, Inc.",3.75,0.345,10.13,1140000,1331000,412931000,2023-12-22T06:17:58.761920,Winners
NBTX,Nanobiotix S.A.,7.68,1.04,15.66,39143,17148,361814000,2023-12-22T06:17:58.761920,Winners
PRCH,"Porch Group, Inc.",3.03,0.34,12.64,2213000,1404000,299590000,2023-12-22T06:17:58.761920,Winners
VRCA,Verrica Pharmaceuticals Inc.,6.41,0.78,13.85,943292,1062000,269634000,2023-12-22T06:17:58.761920,Winners
YELLQ,Yellow Corporation,4.59,0.7,17.99,624940,268320,239272000,2023-12-22T06:17:58.761920,Winners
ARBK,Argo Blockchain plc,2.57,0.42,19.53,1304000,312390,137999000,2023-12-22T06:17:58.761920,Winners
DNTH,"Dianthus Therapeutics, Inc.",8.75,1.15,15.13,98406,19964,129656000,2023-12-22T06:17:58.761920,Winners
VRSSF,VERSES AI Inc.,1.4,0.14,11.11,650124,251087,117180000,2023-12-22T06:17:58.761920,Winners
SPRB,"Spruce Biosciences, Inc.",2.05,0.41,25.0,982130,119011,83457000,2023-12-22T06:17:58.761920,Winners
GSIT,"GSI Technology, Inc.",2.99,0.29,10.74,819950,180887,75396000,2023-12-22T06:17:58.761920,Winners
BTCM,BIT Mining Limited,6.2,0.87,16.32,657498,109448,68896000,2023-12-22T06:17:58.761920,Winners
FDMIF,Founders Metals Inc.,1.025,0.115,12.64,29103,34039,55925000,2023-12-22T06:17:58.761920,Winners
OPXS,"Optex Systems Holdings, Inc",5.88,0.66,12.64,390805,13885,39891000,2023-12-22T06:17:58.761920,Winners
CNTX,Context Therapeutics Inc.,1.12,0.11,10.89,179333,34858,17882000,2023-12-22T06:17:58.761920,Winners
CETX,"Cemtrex, Inc.",6.49,0.63,10.75,48260,21672,6479000,2023-12-22T06:17:58.761920,Winners
PROP,Prairie Operating Co.,6.71,1.32,24.49,23902,27740,0,2023-12-22T06:17:58.761920,Winners
HZEN,Grayscale Horizen Trust (ZEN),1.822,0.222,13.88,70933,25780,0,2023-12-22T06:17:58.761920,Winners
TELIF,Telescope Innovations Corp.,0.3145,0.0745,31.04,1000,23026,16878000,2024-02-24T06:15:59.415517,Winners
SRCGF,Spruce Ridge Resources Ltd.,0.06,0.0139,30.15,21070,25293,12612000,2024-02-24T06:15:59.415517,Winners
BRVO,Bravo Multinational Incorporated,0.229,0.039,20.52,35230,37390,12856000,2024-02-24T06:15:59.415517,Winners
IONI,I-ON Digital Corp.,0.38,0.065,20.63,12953,16698,10416000,2024-02-24T06:15:59.415517,Winners
IXIXF,Indigo Exploration Inc.,0.0261,0.0051,24.29,22562,18143,6549000,2024-02-24T06:15:59.415517,Winners
CSOC,Caduceus Software Systems Corp.,0.025,0.0087,53.37,397090,32478,6918000,2024-02-24T06:15:59.415517,Winners
RVLWF,Revitalist Lifestyle and Wellness Ltd.,0.039,0.0193,97.97,24720,10631,3105000,2024-02-24T06:15:59.415517,Winners
SPLTF,"SpotLite360 IOT Solutions, Inc.",0.0223,0.0038,20.54,1000,12390,2273000,2024-02-24T06:15:59.415517,Winners
NREG,"NewRegen, Inc.",0.014,0.003,27.27,60556,1034000,1745000,2024-02-24T06:15:59.415517,Winners
JKSM,Jacksam Corporation,0.02,0.005,33.33,1000,33455,1622000,2024-02-24T06:15:59.415517,Winners
RVBR,Markray Corp.,0.03,0.015,100.0,140,19422,1508000,2024-02-24T06:15:59.415517,Winners
TSHA,"Taysha Gene Therapies, Inc.",2.15,0.24,12.57,3046000,1808000,401964000,2024-02-21T06:17:18.257283,Winners
SOPH,SOPHiA GENETICS SA,5.18,0.5,10.68,65462,34567,337384000,2024-02-21T06:17:18.257283,Winners
QBTS,D-Wave Quantum Inc.,2.05,0.31,17.82,17957000,2212000,327852000,2024-02-21T06:17:18.257283,Winners
CDRO,"Codere Online Luxembourg, S.A.",5.64,0.64,12.8,49044,20128,255480000,2024-02-21T06:17:18.257283,Winners
OSIIF,Osino Resources Corp.,1.3,0.2642,25.51,411428,101576,222620000,2024-02-21T06:17:18.257283,Winners
ZENV,Zenvia Inc.,2.2,0.3,15.79,369839,180923,111639000,2024-02-21T06:17:18.257283,Winners
CRDL,Cardiol Therapeutics Inc.,1.67,0.24,16.78,1303000,248198,108740000,2024-02-21T06:17:18.257283,Winners
FEBO,Fenbo Holdings Limited,8.87,1.05,13.43,37268,89694,97570000,2024-02-21T06:17:18.257283,Winners
VINC,"Vincerx Pharma, Inc.",3.09,1.28,70.72,12367000,584233,66066000,2024-02-21T06:17:18.257283,Winners
CPOP,"Pop Culture Group Co., Ltd",7.19,4.54,171.32,70543000,750671,17537000,2024-02-21T06:17:18.257283,Winners
TLSIW,"TriSalus Life Sciences, Inc.",1.14,0.15,15.15,23562,24686,0,2024-02-21T06:17:18.257283,Winners
HZEN,Grayscale Horizen Trust (ZEN),4.0075,0.6275,18.57,36775,45825,0,2024-02-21T06:17:18.257283,Winners
OIBZQ,Oi S.A.,0.1994,0.1988,0.0,8346,13734,237573000,2023-12-15T06:18:13.866764,Winners
EGRNQ,China Evergrande Group,0.07,0.038,118.75,27890,14033,924301000,2023-12-15T06:18:13.866764,Winners
ARBKF,Argo Blockchain plc,0.2025,0.0365,21.99,177650,50293,108403000,2023-12-15T06:18:13.866764,Winners
IFUS,"Impact Fusion International, Inc.",0.1295,0.0366,39.4,4697000,1117000,68521000,2023-12-15T06:18:13.866764,Winners
EGYF,"Energy Finders, Inc.",0.127,0.031,32.29,10332,64448,15619000,2023-12-15T06:18:13.866764,Winners
FDCT,"FDCTech, Inc.",0.0456,0.0081,21.6,678303,485201,15211000,2023-12-15T06:18:13.866764,Winners
DTARF,Delta Resources Limited,0.1057,0.0192,22.2,15000,37591,10743000,2023-12-15T06:18:13.866764,Winners
GRHI,"Gold Rock Holdings, Inc.",0.045,0.0201,80.72,748093,142087,10397000,2023-12-15T06:18:13.866764,Winners
KTPPF,Katipult Technology Corp.,0.0475,0.0273,135.15,32921,11277,3684000,2023-12-15T06:18:13.866764,Winners
BMCS,"BioTech Medics, Inc.",0.03,0.0055,22.45,85193,34182,6071000,2023-12-15T06:18:13.866764,Winners
ZHUD,Zhuding International Limited,0.0132,0.0032,32.0,831925,870793,5296000,2023-12-15T06:18:13.866764,Winners
NILA,Nilam Resources Inc.,0.0445,0.0078,21.25,12858,36382,2495000,2023-12-15T06:18:13.866764,Winners
MFMLF,International Iconic Gold Exploration Corp.,0.015,0.0049,48.24,18000,11122,1520000,2023-12-15T06:18:13.866764,Winners
MEIL,Methes Energies International Ltd.,0.0483,0.0096,25.0,10100,37978,668764,2023-12-15T06:18:13.866764,Winners
CYAP,Cyber Apps World Inc.,0.2,0.0647,47.85,13146,16327,254584,2023-12-15T06:18:13.866764,Winners
TKVR,"Zhejiang Dashang Media Co., Ltd.",0.1992,0.0372,22.99,6604,24857,180584,2023-12-15T06:18:13.866764,Winners
TLSIW,"TriSalus Life Sciences, Inc.",0.7299,0.3674,101.35,230292,12911,0,2023-12-15T06:18:13.866764,Winners
LILMW,Lilium N.V.,0.1846,0.0441,31.39,55275,30248,0,2023-12-15T06:18:13.866764,Winners
NREG,"NewRegen, Inc.",0.024,0.0045,23.08,238112,1249000,0,2023-12-15T06:18:13.866764,Winners
TMXLF,"Teléfonos de México, S.A.B. de C.V.",0.01,0.01,0.0,190,14160,308155000,2023-12-22T06:18:03.055709,Winners
ARTTF,Artemis Resources Limited,0.0225,0.0145,181.25,23845,24009,38052000,2023-12-22T06:18:03.055709,Winners
IFUS,"Impact Fusion International, Inc.",0.1,0.0222,28.53,1966000,1189000,52912000,2023-12-22T06:18:03.055709,Winners
NUKK,Nukkleus Inc.,0.25,0.1969,370.81,15401,13808,91794000,2023-12-22T06:18:03.055709,Winners
FLHLF,Filament Health Corp.,0.0648,0.0123,23.31,367730,71983,13137000,2023-12-22T06:18:03.055709,Winners
ETST,"Earth Science Tech, Inc.",0.066,0.016,32.0,60183,73261,20782000,2023-12-22T06:18:03.055709,Winners
GLFH,"Galenfeha, Inc.",0.047,0.017,56.67,104300,18775,7196000,2023-12-22T06:18:03.055709,Winners
PFFOF,Portofino Resources Inc.,0.0523,0.0113,27.56,6000,13310,8951000,2023-12-22T06:18:03.055709,Winners
MDWK,"MDWerks, Inc.",0.072,0.042,140.0,2875,11135,9179000,2023-12-22T06:18:03.055709,Winners
MLYCF,Multi-Metal Development Ltd.,0.035,0.011,45.83,10000,17035,8795000,2023-12-22T06:18:03.055709,Winners
CRDV,Community Redevelopment Inc.,0.1,0.02,25.0,18544,11022,8604000,2023-12-22T06:18:03.055709,Winners
SNBH,Sentient Brands Holdings Inc.,0.14,0.0592,73.37,5600,13111,7748000,2023-12-22T06:18:03.055709,Winners
NPRFF,Nepra Foods Inc.,0.1,0.02,25.0,19108,53190,6774000,2023-12-22T06:18:03.055709,Winners
BMCS,"BioTech Medics, Inc.",0.0299,0.0089,42.38,300,35995,6050000,2023-12-22T06:18:03.055709,Winners
CNER,China New Energy Group Co.,0.043,0.008,22.86,213311,224103,4604000,2023-12-22T06:18:03.055709,Winners
DZCA,"DrazCanna, Inc.",0.39,0.0803,25.93,3100,17953,3437000,2023-12-22T06:18:03.055709,Winners
CGRW,"CannaGrow Holdings, Inc",0.0314,0.006,23.33,12891,110829,3210000,2023-12-22T06:18:03.055709,Winners
ECPL,"EcoPlus, Inc.",0.029,0.008,38.1,1000,71065,847675,2023-12-22T06:18:03.055709,Winners
CYAP,Cyber Apps World Inc.,0.3175,0.0675,27.0,1221,13545,404152,2023-12-22T06:18:03.055709,Winners
FZRO,CS Diagnostics Corp.,0.49,0.22,81.48,415,10308,132581,2023-12-22T06:18:03.055709,Winners
OBSEF,ObsEva SA,0.04,0.01,33.33,266382,28454,0,2023-12-22T06:18:03.055709,Winners
TMCWW,TMC the metals company Inc.,0.14,0.03,27.27,40474,44206,0,2023-12-22T06:18:03.055709,Winners
MFH,Mercurity Fintech Holding Inc.,2.58,0.26,11.21,16648,141410,156915000,2024-02-03T06:15:54.343360,Winners
NGENF,NervGen Pharma Corp.,2.59,0.415,19.08,105701,61628,155160000,2024-02-03T06:15:54.343360,Winners
ADVM,"Adverum Biotechnologies, Inc.",1.42,0.23,19.33,2689000,461845,143458000,2024-02-03T06:15:54.343360,Winners
AHG,Akso Health Group,2.6,0.36,16.07,1307000,145915,59452000,2024-02-03T06:15:54.343360,Winners
KUKE,Kuke Music Holding Limited,1.61,0.34,26.77,219127,17543,53535000,2024-02-03T06:15:54.343360,Winners
ALRN,"Aileron Therapeutics, Inc.",4.71,0.49,11.61,18734,125978,23011000,2024-02-03T06:15:54.343360,Winners
ARDX,"Ardelyx, Inc.",9.1,0.92,11.25,22030000,7055000,2112000000,2024-01-10T06:18:28.582430,Winners
APLD,Applied Digital Corporation,8.52,0.93,12.25,5760000,3170000,905676000,2024-01-10T06:18:28.582430,Winners
GMINF,G Mining Ventures Corp.,1.29,0.12,10.26,17488,20291,628235000,2024-01-10T06:18:28.582430,Winners
NN,NextNav Inc.,5.1,0.47,10.15,2239000,517745,561801000,2024-01-10T06:18:28.582430,Winners
MTC,"MMTec, Inc.",2.35,0.29,14.08,1305000,1738000,467991000,2024-01-10T06:18:28.582430,Winners
EPIX,ESSA Pharma Inc.,7.05,0.71,11.2,154236,202914,311202000,2024-01-10T06:18:28.582430,Winners
RENB,Renovaro Biosciences Inc.,4.47,0.59,15.21,160357,117029,346185000,2024-01-10T06:18:28.582430,Winners
SYRS,"Syros Pharmaceuticals, Inc.",7.72,0.82,11.88,272906,241747,200772000,2024-01-10T06:18:28.582430,Winners
WRAP,"Wrap Technologies, Inc.",3.1,0.295,10.52,3171000,320196,137064000,2024-01-10T06:18:28.582430,Winners
ADAG,Adagene Inc.,2.9,0.27,10.27,242323,24077,127121000,2024-01-10T06:18:28.582430,Winners
GALT,Galectin Therapeutics Inc.,1.9,0.21,12.43,50645,61796,117513000,2024-01-10T06:18:28.582430,Winners
CDIO,"Cardio Diagnostics Holdings, Inc.",2.89,0.38,15.14,3669000,15045000,59294000,2024-01-10T06:18:28.582430,Winners
CLRB,"Cellectar Biosciences, Inc.",3.65,0.45,14.06,5025000,829122,44852000,2024-01-10T06:18:28.582430,Winners
EKSO,"Ekso Bionics Holdings, Inc.",2.99,0.39,15.0,185403,128591,42562000,2024-01-10T06:18:28.582430,Winners
NUKK,Nukkleus Inc.,2.44,0.37,17.87,1238000,48216,895909000,2024-01-10T06:18:28.582430,Winners
ZMMPY,Zamp S.A.,4.78,0.47,10.9,116,221167,0,2024-01-10T06:18:28.582430,Winners
OLVI,"Oliveda International, Inc.",1.37,0.39,39.8,13654,12807,0,2024-01-10T06:18:28.582430,Winners
IBRX,"ImmunityBio, Inc.",4.19,0.69,19.71,10350000,4060000,2809000000,2024-02-27T06:16:52.508807,Winners
OLVI,"Oliveda International, Inc.",2.85,0.3,11.76,3446,23191,1742000000,2024-02-27T06:16:52.508807,Winners
BITF,Bitfarms Ltd.,3.6,0.58,19.21,48906000,32130000,1160000000,2024-02-27T06:16:52.508807,Winners
CIFR,Cipher Mining Inc.,3.4,0.37,12.21,9655000,9493000,873997000,2024-02-27T06:16:52.508807,Winners
IREN,Iris Energy Limited,6.91,0.73,11.81,16820000,7163000,718868000,2024-02-27T06:16:52.508807,Winners
WULF,TeraWulf Inc.,2.34,0.31,15.27,28142000,21806000,563741000,2024-02-27T06:16:52.508807,Winners
BTBT,"Bit Digital, Inc.",3.14,0.46,17.16,15658000,9388000,335672000,2024-02-27T06:16:52.508807,Winners
AKBA,"Akebia Therapeutics, Inc.",1.51,0.16,11.85,2908000,1805000,284467000,2024-02-27T06:16:52.508807,Winners
RGTI,"Rigetti Computing, Inc.",1.86,0.28,17.72,10805000,4254000,272763000,2024-02-27T06:16:52.508807,Winners
NTPIF,Nam Tai Property Inc.,4.49,0.49,12.25,1650,17503,249621000,2024-02-27T06:16:52.508807,Winners
AQST,"Aquestive Therapeutics, Inc.",2.85,0.28,10.89,2452000,784515,190287000,2024-02-27T06:16:52.508807,Winners
ELEV,"Elevation Oncology, Inc.",2.9,0.34,13.28,653740,2790000,123003000,2024-02-27T06:16:52.508807,Winners
GSIT,"GSI Technology, Inc.",2.68,0.26,10.74,275882,299655,67791000,2024-02-27T06:16:52.508807,Winners
INLX,"Intellinetics, Inc.",8.35,1.1,15.17,89307,13200,34016000,2024-02-27T06:16:52.508807,Winners
LIDR,"AEye, Inc.",1.65,0.28,20.44,199998,1137000,10348000,2024-02-27T06:16:52.508807,Winners
MTC,"MMTec, Inc.",2.08,0.27,14.92,1603000,1687000,414222000,2024-01-05T06:17:59.244882,Winners
XERS,"Xeris Biopharma Holdings, Inc.",2.53,0.29,12.95,5395000,1351000,349456000,2024-01-05T06:17:59.244882,Winners
AKBA,"Akebia Therapeutics, Inc.",1.52,0.15,10.95,4471000,1405000,286351000,2024-01-05T06:17:59.244882,Winners
HOWL,"Werewolf Therapeutics, Inc.",5.25,0.9,20.69,431690,969752,190009000,2024-01-05T06:17:59.244882,Winners
ARMP,"Armata Pharmaceuticals, Inc.",3.2,0.39,13.88,11146,15953,115669000,2024-01-05T06:17:59.244882,Winners
CRVS,"Corvus Pharmaceuticals, Inc.",2.11,0.24,12.83,541114,209732,103471000,2024-01-05T06:17:59.244882,Winners
ALAR,Alarum Technologies Ltd.,9.45,0.92,10.79,288335,80616,56399000,2024-01-05T06:17:59.244882,Winners
GREE,Greenidge Generation Holdings Inc.,6.66,0.61,10.08,456746,370866,44068000,2024-01-05T06:17:59.244882,Winners
BTCS,BTCS Inc.,2.18,0.31,16.58,582396,236590,31334000,2024-01-05T06:17:59.244882,Winners
CREX,"Creative Realities, Inc.",2.71,0.39,16.81,164904,45443,28208000,2024-01-05T06:17:59.244882,Winners
HZEN,Grayscale Horizen Trust (ZEN),1.85,0.18,10.78,24881,31357,0,2024-01-05T06:17:59.244882,Winners
LBSR,Liberty Star Uranium & Metals Corp.,0.5425,0.1225,29.17,269211,204960,27024000,2024-02-07T06:16:54.368490,Winners
RGLG,"UHF Logistics Group, Inc.",0.2524,0.0495,24.41,8753,32697,14847000,2024-02-07T06:16:54.368490,Winners
QGSI,QuantGate Systems Inc.,0.0495,0.011,28.57,199900,26923,14069000,2024-02-07T06:16:54.368490,Winners
BCNWF,Bitcoin Well Inc.,0.06,0.0132,28.21,16300,10680,11930000,2024-02-07T06:16:54.368490,Winners
FDCT,"FDCTech, Inc.",0.029,0.0098,51.04,100,283453,9674000,2024-02-07T06:16:54.368490,Winners
ARTM,"American Nortel Communications, Inc.",0.055,0.0106,23.87,1500,35937,3592000,2024-02-07T06:16:54.368490,Winners
LANRF,Lancaster Resources Inc.,0.06,0.0183,43.88,13008,17510,3011000,2024-02-07T06:16:54.368490,Winners
IRNTQ,"IronNet, Inc.",0.0189,0.0119,170.0,104844,105176,2296000,2024-02-07T06:16:54.368490,Winners
FBSE,"Fastbase, Inc.",0.195,0.045,30.0,61400,23509,905275,2024-02-07T06:16:54.368490,Winners
TRLFF,Maven Brands Inc.,0.024,0.011,84.62,15602,18304,843381,2024-02-07T06:16:54.368490,Winners
ACIXF,Acarix AB (publ),0.03,0.007,30.43,3389000,3591000,0,2024-02-07T06:16:54.368490,Winners
VRNOF,Verano Holdings Corp.,5.7,0.55,10.68,313481,343675,1987000000,2024-01-24T19:38:05.461338,Winners
ADAG,Adagene Inc.,3.7502,0.4802,14.69,182431,90585,164389000,2024-01-24T19:38:05.461338,Winners
CASI,"CASI Pharmaceuticals, Inc.",6.8,1.38,25.46,86106,54249,90586000,2024-01-24T19:38:05.461338,Winners
RMLFF,Rusoro Mining Ltd.,0.66,0.2182,49.39,3364000,193256,381045000,2024-01-08T20:23:57.105618,Winners
NOKPF,Nok Airlines Public Company Limited,0.01,0.007,233.33,150,32808,384872000,2024-01-08T20:23:57.105618,Winners
PFFOF,Portofino Resources Inc.,0.0556,0.0106,23.56,146881,14177,12666000,2024-01-08T20:23:57.105618,Winners
TCRI,"TechCom, Inc.",0.19,0.065,52.0,23784,33000,12348000,2024-01-08T20:23:57.105618,Winners
KOSK,One Step Vending Corp.,0.016,0.0035,28.0,312690,305808,5842000,2024-01-08T20:23:57.105618,Winners
JPPYY,Jupai Holdings Limited,0.0997,0.054,118.16,9948,13809,3175000,2024-01-08T20:23:57.105618,Winners
HIHI,"Holiday Island Holdings, Inc.",0.0337,0.0107,46.67,2500,24702,319460,2024-01-08T20:23:57.105618,Winners
COOLW,Corner Growth Acquisition Corp.,0.1378,0.0278,25.27,11395,26782,0,2024-01-08T20:23:57.105618,Winners
LINRF,Liontown Resources Limited,1.18,0.18,18.0,7541,19316,2858000000,2023-12-20T06:14:56.579812,Winners
CIFR,Cipher Mining Inc.,3.59,0.45,14.33,20001000,2750000,922838000,2023-12-20T06:14:56.579812,Winners
CNTA,Centessa Pharmaceuticals plc,7.7,0.82,11.92,145563,146777,751746000,2023-12-20T06:14:56.579812,Winners
AVAH,Aveanna Healthcare Holdings Inc.,2.58,0.26,11.21,92856,213712,492091000,2023-12-20T06:14:56.579812,Winners
FUSN,Fusion Pharmaceuticals Inc.,6.03,0.55,10.04,1438000,314862,436607000,2023-12-20T06:14:56.579812,Winners
STTK,"Shattuck Labs, Inc.",6.43,0.92,16.79,714410,1453000,273394000,2023-12-20T06:14:56.579812,Winners
BTCM,BIT Mining Limited,4.99,0.99,24.75,691162,82367,55450000,2023-12-20T06:14:56.579812,Winners
CDIO,"Cardio Diagnostics Holdings, Inc.",2.36,0.28,13.46,3412000,14083000,48420000,2023-12-20T06:14:56.579812,Winners
FPAY,"FlexShopper, Inc.",1.79,0.27,17.76,308514,50829,38756000,2023-12-20T06:14:56.579812,Winners
OPXS,"Optex Systems Holdings, Inc",4.875,0.765,18.61,104245,10517,33073000,2023-12-20T06:14:56.579812,Winners
RGBP,"Regen BioPharma, Inc.",1.22,0.47,62.67,34856,15119,4342000,2023-12-20T06:14:56.579812,Winners
WALDW,Waldencast plc,1.0,0.1,11.11,4895,19858,0,2023-12-20T06:14:56.579812,Winners
NTMFF,Neotech Metals Corp.,2.48,0.93,60.0,902938,187616,0,2023-12-20T06:14:56.579812,Winners
AMEGF,American Eagle Gold Corp.,0.42,0.09,27.27,55400,48491,47258000,2024-02-08T06:17:49.738705,Winners
BTTC,Bitech Technologies Corporation,0.0849,0.0164,23.85,21306,102216,40512000,2024-02-08T06:17:49.738705,Winners
CAULF,Cauldron Energy Limited,0.033,0.0087,35.8,60000,11103,38063000,2024-02-08T06:17:49.738705,Winners
MLYCF,Multi-Metal Development Ltd.,0.044,0.021,91.3,100,33462,11056000,2024-02-08T06:17:49.738705,Winners
CBMJ,Conservative Broadcast Media & Journalism Inc.,0.4,0.1575,64.95,162264,54559,7047000,2024-02-08T06:17:49.738705,Winners
NYWKF,NTG Clarity Networks Inc.,0.0337,0.006,21.66,700,19514,6240000,2024-02-08T06:17:49.738705,Winners
CSOC,Caduceus Software Systems Corp.,0.0219,0.0043,24.43,1120,24533,6060000,2024-02-08T06:17:49.738705,Winners
