Symbol,Close,Volume Mean,Screener,Date,Order,0.5%
VEEE,2.8,2888680,Winners 5,2025-09-30,7,40441.52
EZGO,0.17,20783320,Winners 5,2025-09-30,8,17769.74
KYTX,6.0,408060,Loosers 10,2025-10-01,1,12241.8
GTBP,0.59,944500,Loosers 10,2025-10-01,2,2772.11
BREA,30.0,2022960,Loosers 5,2025-10-01,1,303444.0
NCNA,4.64,962060,Loosers 5,2025-10-01,2,22319.79
EVAX,3.76,16054000,Loosers 5,2025-10-01,3,301815.2
MDAI,2.28,560860,Loosers 5,2025-10-01,4,6393.8
GRI,2.06,425940,Loosers 5,2025-10-01,5,4387.18
GANX,1.77,567240,Loosers 5,2025-10-01,6,5020.07
TGL,1.13,662740,Loosers 5,2025-10-01,7,3744.48
IREN,46.93,51008320,Random 10,2025-10-01,1,11969102.29
PTNM,12.23,1853280,Random 10,2025-10-01,2,113328.07
UUUU,15.35,26408360,Random 10,2025-10-01,3,2026841.63
LASE,4.31,2154660,Random 10,2025-10-01,4,46432.92
ATOM,4.42,471200,Random 10,2025-10-01,5,10413.52
VNTG,7.3,1262040,Random 10,2025-10-01,6,46064.46
WCT,0.36,1469660,Random 10,2025-10-01,7,2623.34
OABI,1.6,704480,Random 10,2025-10-01,8,5635.84
EU,3.21,4786120,Random 5,2025-10-01,1,76817.23
VUZI,3.13,3482680,Random 5,2025-10-01,2,54503.94
UAMY,6.2,9693620,Random 5,2025-10-01,3,300502.22
POET,5.54,5484680,Random 5,2025-10-01,4,151925.64
IMPP,4.78,566040,Random 5,2025-10-01,5,13528.36
YYGH,0.37,990700,Random 5,2025-10-01,6,1837.75
OCGN,1.63,8796900,Random 5,2025-10-01,7,71694.73
SOUN,16.08,57422440,Random 5,2025-10-01,8,4616764.18
ZVRA,9.51,4353240,Winners 10,2025-10-01,1,206996.56
GLTO,3.72,701160,Winners 10,2025-10-01,2,13041.58
BBAI,6.52,89323700,Winners 10,2025-10-01,3,2911952.62
IONR,4.47,425520,Winners 10,2025-10-01,4,9510.37
APLT,0.6,32579880,Winners 10,2025-10-01,5,98554.14
XPON,1.44,8534640,Winners 10,2025-10-01,6,61449.41
PROP,1.99,1680060,Winners 10,2025-10-01,7,16674.6
TELO,1.39,376880,Winners 10,2025-10-01,8,2619.32
RGTI,29.79,107732400,Winners 5,2025-10-01,1,16046740.98
NEON,3.49,1190040,Winners 5,2025-10-01,2,20766.2
PEPG,4.62,34529360,Winners 5,2025-10-01,3,797628.22
MASS,8.76,492600,Winners 5,2025-10-01,4,21575.88
APLD,22.94,24444080,Winners 5,2025-10-01,5,2803735.98
TKNO,6.19,508900,Winners 5,2025-10-01,6,15750.45
SKBL,3.42,990920,Winners 5,2025-10-01,7,16944.73
VERI,4.82,6311440,Winners 5,2025-10-01,8,152105.7
SPIR,11.29,335700,Loosers 10,2025-10-02,1,18950.26
RAPP,28.67,811240,Loosers 10,2025-10-02,2,116291.25
JSPR,2.4,775360,Loosers 10,2025-10-02,3,9304.32
GTBP,0.65,1046840,Loosers 10,2025-10-02,4,3402.23
NCNA,4.86,1017620,Loosers 5,2025-10-02,1,24728.17
SOS,2.07,1330020,Loosers 5,2025-10-02,2,13765.71
EVAX,4.44,16228740,Loosers 5,2025-10-02,3,360278.03
NPWR,3.05,1009860,Loosers 5,2025-10-02,4,15400.36
ACDC,3.96,1429040,Loosers 5,2025-10-02,5,28294.99
AMLX,14.0,2256980,Loosers 5,2025-10-02,6,157988.6
SSKN,2.06,471200,Loosers 5,2025-10-02,7,4853.36
OTLK,1.04,4138160,Loosers 5,2025-10-02,8,21518.43
LINK,14.36,330820,Random 10,2025-10-02,1,23752.88
LASE,4.24,1750520,Random 10,2025-10-02,2,37111.02
UUUU,15.71,26631260,Random 10,2025-10-02,3,2091885.47
BTDR,18.0,4891560,Random 10,2025-10-02,4,440240.4
SGHC,13.53,2809000,Random 10,2025-10-02,5,190028.85
ALT,3.87,2923020,Random 10,2025-10-02,6,56560.44
OABI,1.61,803900,Random 10,2025-10-02,7,6471.4
WCT,0.37,1164000,Random 10,2025-10-02,8,2130.12
RAYA,4.48,555192,Random 5,2025-10-02,1,12436.3
BTQQF,6.74,5668741,Random 5,2025-10-02,2,191036.57
NAKA,1.13,24650960,Random 5,2025-10-02,3,139277.92
EXK,7.75,16673020,Random 5,2025-10-02,4,646079.53
VUZI,3.48,4039980,Random 5,2025-10-02,5,70295.65
POET,5.94,5017000,Random 5,2025-10-02,6,149004.9
YYGH,0.39,1017620,Random 5,2025-10-02,7,1964.01
OCGN,1.68,7715000,Random 5,2025-10-02,8,64806.0
FGNX,5.93,630560,Winners 10,2025-10-02,1,18696.1
RDW,9.16,6337020,Winners 10,2025-10-02,2,290235.52
QS,14.59,48908140,Winners 10,2025-10-02,3,3567848.81
GLUE,7.5,998180,Winners 10,2025-10-02,4,37431.75
BBAI,6.98,80807680,Winners 10,2025-10-02,5,2820188.03
PUMP,5.43,2570240,Winners 10,2025-10-02,6,69782.02
CADL,5.54,789200,Winners 10,2025-10-02,7,21860.84
ANNX,3.03,3339100,Winners 10,2025-10-02,8,50587.36
RAPT,27.24,483620,Winners 5,2025-10-02,1,65869.04
RGTI,29.85,96324580,Winners 5,2025-10-02,2,14376443.56
TSSI,18.76,2759200,Winners 5,2025-10-02,3,258812.96
NEON,3.43,1095460,Winners 5,2025-10-02,4,18787.14
INDP,3.5,3305900,Winners 5,2025-10-02,5,57853.25
APLD,25.0,23785960,Winners 5,2025-10-02,6,2973245.0
ADVM,5.01,363600,Winners 5,2025-10-02,7,9108.18
TMC,6.94,8205760,Winners 5,2025-10-02,8,284739.87
SPIR,13.11,446280,Loosers 10,2025-10-03,1,29253.65
GTBP,0.64,1084780,Loosers 10,2025-10-03,2,3465.87
APVO,1.45,1727160,Loosers 10,2025-10-03,3,12521.91
SSKN,2.07,414780,Loosers 5,2025-10-03,1,4292.97
OTLK,1.07,4228120,Loosers 5,2025-10-03,2,22620.44
DDD,2.99,5010260,Loosers 5,2025-10-03,3,74903.39
ARBE,1.94,2431000,Loosers 5,2025-10-03,4,23580.7
ORIS,0.19,14876680,Loosers 5,2025-10-03,5,13909.7
LUNR,11.22,6957200,Random 10,2025-10-03,1,390298.92
NVTS,8.2,36140280,Random 10,2025-10-03,2,1480847.97
BTDR,17.61,4914340,Random 10,2025-10-03,3,432707.64
LASE,4.75,1616500,Random 10,2025-10-03,4,38391.88
OABI,1.61,752480,Random 10,2025-10-03,5,6057.46
WCT,0.36,552440,Random 10,2025-10-03,6,986.11
UUUU,16.82,25499200,Random 10,2025-10-03,7,2144482.72
EU,3.31,3574720,Random 5,2025-10-03,1,59161.62
MTPLF,4.21,6560980,Random 5,2025-10-03,2,138075.82
TLSA,2.0,312940,Random 5,2025-10-03,3,3129.4
TRON,2.61,3226260,Random 5,2025-10-03,4,42102.69
OCGN,1.77,6974260,Random 5,2025-10-03,5,61722.2
CURV,1.74,411120,Random 5,2025-10-03,6,3576.74
KULR,4.76,1548420,Random 5,2025-10-03,7,36852.4
VLN,1.86,684940,Random 5,2025-10-03,8,6369.94
FGNX,6.0,393100,Winners 10,2025-10-03,1,11793.0
TNFA,5.1,832059,Winners 10,2025-10-03,2,21217.5
RDW,10.36,7035740,Winners 10,2025-10-03,3,364451.33
QS,14.3,52617320,Winners 10,2025-10-03,4,3762138.38
NVNO,0.95,341740,Winners 10,2025-10-03,5,1626.68
LPTH,8.17,2243700,Winners 10,2025-10-03,6,91655.15
ANNX,3.11,3672080,Winners 10,2025-10-03,7,57100.84
AUID,2.97,381460,Winners 10,2025-10-03,8,5664.68
RAPT,29.1,516540,Winners 5,2025-10-03,1,75156.57
NEON,3.7,1175500,Winners 5,2025-10-03,2,21746.75
RGTI,35.4,99534780,Winners 5,2025-10-03,3,17617656.06
PEPG,5.08,3837800,Winners 5,2025-10-03,4,97480.12
INDP,3.59,3415860,Winners 5,2025-10-03,5,61314.69
APLD,26.47,25680100,Winners 5,2025-10-03,6,3398761.23
AMPX,12.49,8455060,Winners 5,2025-10-03,7,528018.5
MVST,4.47,7469440,Winners 5,2025-10-03,8,166941.98
JSPR,2.49,531100,Loosers 10,2025-10-06,1,6612.19
BREA,24.88,1526100,Loosers 5,2025-10-06,1,189846.84
NCNA,4.68,1116900,Loosers 5,2025-10-06,2,26135.46
NPWR,3.38,1065860,Loosers 5,2025-10-06,3,18013.03
DDD,3.12,5075240,Loosers 5,2025-10-06,4,79173.74
SABR,1.85,3835440,Loosers 5,2025-10-06,5,35477.82
RNXT,1.32,531120,Loosers 5,2025-10-06,6,3505.39
ORIS,0.18,11860060,Loosers 5,2025-10-06,7,10851.95
IREN,50.46,33224120,Random 10,2025-10-06,1,8382445.48
BTDR,19.42,6450860,Random 10,2025-10-06,2,626378.51
SUIG,4.49,1566240,Random 10,2025-10-06,3,35162.09
WCT,0.39,572760,Random 10,2025-10-06,4,1119.75
NNOX,3.93,1484420,Random 10,2025-10-06,5,29168.85
RAYA,5.08,575332,Random 5,2025-10-06,1,14613.43
UAMY,7.75,10273880,Random 5,2025-10-06,2,398112.85
SGMT,7.29,326600,Random 5,2025-10-06,3,11904.57
TRON,2.9,5100300,Random 5,2025-10-06,4,73954.35
EU,3.25,4017780,Random 5,2025-10-06,5,65288.93
ASM,5.45,5687600,Random 5,2025-10-06,6,154987.1
OCGN,1.77,8164720,Random 5,2025-10-06,7,72257.77
RR,6.18,61575800,Random 5,2025-10-06,8,1902692.22
ENTA,10.33,4809160,Winners 10,2025-10-06,1,248393.11
FTK,15.92,513180,Winners 10,2025-10-06,2,40849.13
ZVRA,9.75,1726060,Winners 10,2025-10-06,3,84145.43
QS,15.92,62035840,Winners 10,2025-10-06,4,4938052.86
ACB,5.65,4339620,Winners 10,2025-10-06,5,122594.26
CADL,5.56,784060,Winners 10,2025-10-06,6,21796.87
RLAY,5.48,1336140,Winners 10,2025-10-06,7,36610.24
SLDB,5.9,1247600,Winners 10,2025-10-06,8,36804.2
RGTI,40.06,110697200,Winners 5,2025-10-06,1,22172649.16
LCID,24.77,9674160,Winners 5,2025-10-06,2,1198144.72
PEPG,5.13,2919000,Winners 5,2025-10-06,3,74872.35
CRVS,7.19,1076160,Winners 5,2025-10-06,4,38687.95
SKBL,3.15,637560,Winners 5,2025-10-06,5,10041.57
VCIG,6.37,663040,Winners 5,2025-10-06,6,21117.82
LAES,4.64,21686260,Winners 5,2025-10-06,7,503121.23
TOI,3.64,2077800,Winners 5,2025-10-06,8,37815.96
FBLG,0.55,1221280,Loosers 10,2025-10-07,1,3358.52
NCNA,5.08,1190020,Loosers 5,2025-10-07,1,30226.51
GUTS,1.47,6032440,Loosers 5,2025-10-07,2,44338.43
OTLK,1.09,1942360,Loosers 5,2025-10-07,3,10585.86
RVSN,0.51,24654360,Loosers 5,2025-10-07,4,63238.43
MDAI,2.42,582000,Loosers 5,2025-10-07,5,7042.2
FAAS,0.01,593132,Loosers 5,2025-10-07,6,41.52
XTIA,1.6,952580,Loosers 5,2025-10-07,7,7620.64
IREN,57.75,34027560,Random 10,2025-10-07,1,9825457.95
CAPR,7.81,1300040,Random 10,2025-10-07,2,50766.56
TWG,7.08,708280,Random 10,2025-10-07,3,25073.11
FULC,9.5,629040,Random 10,2025-10-07,4,29879.4
AYASF,12.14,352700,Random 10,2025-10-07,5,21408.89
NNOX,4.13,1536580,Random 10,2025-10-07,6,31730.38
FINV,7.35,1266060,Random 10,2025-10-07,7,46527.71
WCT,0.41,632320,Random 10,2025-10-07,8,1296.26
RAYA,5.55,560680,Random 5,2025-10-07,1,15558.87
WLGS,0.0,1356836,Random 5,2025-10-07,2,27.82
RAY,0.49,1132380,Random 5,2025-10-07,3,2774.33
EU,3.37,4279120,Random 5,2025-10-07,4,72103.17
BTM,4.39,3106260,Random 5,2025-10-07,5,68182.41
EMX,5.31,1342260,Random 5,2025-10-07,6,35637.0
HLP,1.39,358400,Random 5,2025-10-07,7,2490.88
EXK,7.82,19404200,Random 5,2025-10-07,8,758704.22
ENTA,11.35,1643860,Winners 10,2025-10-07,1,93289.06
ZVRA,10.65,2127440,Winners 10,2025-10-07,2,113286.18
AIRS,8.18,890220,Winners 10,2025-10-07,3,36410.0
BBAI,7.69,94242840,Winners 10,2025-10-07,4,3623637.2
LPTH,8.38,1507540,Winners 10,2025-10-07,5,63165.93
GREE,2.2,447440,Winners 10,2025-10-07,6,4921.84
VRNOF,1.58,839180,Winners 10,2025-10-07,7,6629.52
AISP,6.98,1909220,Winners 10,2025-10-07,8,66631.78
NEON,3.77,882260,Winners 5,2025-10-07,1,16630.6
APLD,27.71,28269460,Winners 5,2025-10-07,2,3916733.68
ZURA,4.17,9234660,Winners 5,2025-10-07,3,192542.66
AMPX,13.44,10199440,Winners 5,2025-10-07,4,685402.37
CURLF,3.14,1728620,Winners 5,2025-10-07,5,27139.33
MYO,0.98,1379580,Winners 5,2025-10-07,6,6746.15
ETON,20.73,389700,Winners 5,2025-10-07,7,40392.4
CDLX,2.58,3224700,Winners 5,2025-10-07,8,41598.63
THH,7.42,416740,Loosers 10,2025-10-08,1,15461.05
JSPR,2.43,505460,Loosers 10,2025-10-08,2,6141.34
APVO,1.76,12698720,Loosers 10,2025-10-08,3,111748.74
APPS,7.0,3329760,Loosers 5,2025-10-08,1,116541.6
DDD,3.14,5102000,Loosers 5,2025-10-08,2,80101.4
RVSN,0.81,39376100,Loosers 5,2025-10-08,3,158685.68
FAAS,0.01,389112,Loosers 5,2025-10-08,4,27.24
WLGS,0.0,1123765,Random 5,2025-10-08,1,22.48
TRON,2.91,5520040,Random 5,2025-10-08,2,80316.58
VUZI,3.84,3868680,Random 5,2025-10-08,3,74278.66
YYGH,0.37,782360,Random 5,2025-10-08,4,1435.63
RAY,0.5,1376600,Random 5,2025-10-08,5,3455.27
EU,3.44,4294880,Random 5,2025-10-08,6,73871.94
TLSA,2.17,363800,Random 5,2025-10-08,7,3947.23
INTJ,0.47,2114440,Random 5,2025-10-08,8,4979.51
TNFA,4.47,2611879,Winners 10,2025-10-08,1,58375.5
CADL,5.63,668820,Winners 10,2025-10-08,2,18827.28
ACB,6.17,1973720,Winners 10,2025-10-08,3,60889.26
APLT,1.07,13233860,Winners 10,2025-10-08,4,70801.15
LPTH,8.87,1612660,Winners 10,2025-10-08,5,71521.47
PBYI,5.18,542580,Winners 10,2025-10-08,6,14052.82
EVGO,4.75,5433900,Winners 10,2025-10-08,7,129055.12
QUIK,6.68,331180,Winners 10,2025-10-08,8,11061.41
TSSI,19.47,3096060,Winners 5,2025-10-08,1,301401.44
VCIG,6.26,767320,Winners 5,2025-10-08,2,24017.12
MASS,8.91,487060,Winners 5,2025-10-08,3,21698.52
CYCC,4.72,534996,Winners 5,2025-10-08,4,12625.91
SLRX,4.52,321840,Winners 5,2025-10-08,5,7273.58
EDIT,3.93,3436100,Winners 5,2025-10-08,6,67519.37
IVDA,1.55,18978400,Winners 5,2025-10-08,7,147082.6
CURLF,3.21,1538300,Winners 5,2025-10-08,8,24728.17
THH,7.82,699840,Loosers 10,2025-10-09,1,27363.74
ARVN,9.75,2086660,Loosers 10,2025-10-09,2,101724.68
ASTC,5.0,6321180,Loosers 10,2025-10-09,3,158029.5
EVAX,6.29,1268520,Loosers 5,2025-10-09,1,39894.95
VRCA,4.42,531100,Loosers 5,2025-10-09,2,11737.31
NPWR,4.34,2938080,Loosers 5,2025-10-09,3,63756.34
GUTS,1.4,5204180,Loosers 5,2025-10-09,4,36429.26
DDD,3.23,5316360,Loosers 5,2025-10-09,5,85859.21
MDAI,2.53,776400,Loosers 5,2025-10-09,6,9821.46
BTOG,0.52,11071980,Loosers 5,2025-10-09,7,28565.71
ULY,3.45,3752400,Loosers 5,2025-10-09,8,64728.9
NVTS,7.74,49176020,Random 10,2025-10-09,1,1903111.97
ATOM,5.0,582480,Random 10,2025-10-09,2,14562.0
FULC,9.63,375580,Random 10,2025-10-09,3,18084.18
RXRX,6.09,54014420,Random 10,2025-10-09,4,1644739.09
NNOX,4.33,1619260,Random 10,2025-10-09,5,35056.98
AUTL,1.76,3971540,Random 10,2025-10-09,6,34949.55
ALT,3.93,3376480,Random 10,2025-10-09,7,66347.83
TERN,8.26,1094740,Random 10,2025-10-09,8,45212.76
WLGS,0.0,985686,Random 5,2025-10-09,1,19.71
TRON,3.66,6611860,Random 5,2025-10-09,2,120997.04
GSIT,5.01,463400,Random 5,2025-10-09,3,11608.17
SOUN,18.88,72162900,Random 5,2025-10-09,4,6812177.76
ABCL,6.17,8299640,Random 5,2025-10-09,5,256043.89
SGMT,7.31,365960,Random 5,2025-10-09,6,13375.84
VUZI,4.06,3378240,Random 5,2025-10-09,7,68578.27
YYGH,0.38,897100,Random 5,2025-10-09,8,1695.52
ZVRA,10.64,2352360,Winners 10,2025-10-09,1,125145.55
MNMD,12.81,1764620,Winners 10,2025-10-09,2,113023.91
ATLX,6.0,1144480,Winners 10,2025-10-09,3,34334.4
RUM,8.18,8746320,Winners 10,2025-10-09,4,357724.49
REPL,4.57,2528760,Winners 10,2025-10-09,5,57782.17
AIRS,8.55,943640,Winners 10,2025-10-09,6,40340.61
ATYR,1.0,9883640,Winners 10,2025-10-09,7,49418.2
GLUE,7.71,566040,Winners 10,2025-10-09,8,21820.84
NEON,3.85,867260,Winners 5,2025-10-09,1,16694.76
ZURA,4.34,1584020,Winners 5,2025-10-09,2,34373.23
PEPG,4.87,1451740,Winners 5,2025-10-09,3,35349.87
MASS,9.15,432780,Winners 5,2025-10-09,4,19799.69
SUGP,6.8,311300,Winners 5,2025-10-09,5,10584.2
DATS,3.24,366082,Winners 5,2025-10-09,6,5930.53
EDIT,4.15,3977880,Winners 5,2025-10-09,7,82541.01
SPCE,4.12,5811400,Winners 5,2025-10-09,8,119714.84
OUST,30.85,2753380,Loosers 10,2025-10-10,1,424708.86
APVO,1.76,14050400,Loosers 10,2025-10-10,2,123643.52
ARRY,9.09,5686540,Loosers 10,2025-10-10,3,258453.24
COCH,0.95,32286060,Loosers 10,2025-10-10,4,153197.35
JSPR,2.49,340640,Loosers 10,2025-10-10,5,4240.97
ASTC,4.95,6290440,Loosers 10,2025-10-10,6,155688.39
SMTK,2.09,601260,Loosers 10,2025-10-10,7,6283.17
VTYX,3.86,1647080,Loosers 5,2025-10-10,1,31788.64
BNGO,2.13,742440,Loosers 5,2025-10-10,2,7906.99
GUTS,1.4,4701400,Loosers 5,2025-10-10,3,32909.8
CGTX,1.95,2648420,Loosers 5,2025-10-10,4,25822.1
DDD,3.18,5180880,Loosers 5,2025-10-10,5,82375.99
BTAI,2.78,1383620,Loosers 5,2025-10-10,6,19232.32
EHGO,0.65,425560,Loosers 5,2025-10-10,7,1376.69
COGT,16.19,2215560,Random 10,2025-10-10,1,179349.58
CAPR,7.62,1019800,Random 10,2025-10-10,2,38854.38
ZENA,5.61,1859860,Random 10,2025-10-10,3,52169.07
NKTX,2.36,1800680,Random 10,2025-10-10,4,21248.02
WCT,0.4,735640,Random 10,2025-10-10,5,1471.28
WLGS,0.0,373157,Random 5,2025-10-10,1,7.65
NAKA,0.94,36257840,Random 5,2025-10-10,2,170049.27
KULR,5.22,4382100,Random 5,2025-10-10,3,114372.81
SGMT,8.62,612620,Random 5,2025-10-10,4,26403.92
ACIU,3.48,592040,Random 5,2025-10-10,5,10301.5
ABOS,2.25,643000,Random 5,2025-10-10,6,7233.75
OCGN,1.83,7875780,Random 5,2025-10-10,7,72063.39
MREO,2.1,1246280,Random 5,2025-10-10,8,13085.94
FGNX,6.23,417320,Winners 10,2025-10-10,1,12999.52
ZVRA,10.82,2538580,Winners 10,2025-10-10,2,137337.18
QS,14.99,67588440,Winners 10,2025-10-10,3,5065753.58
ENTA,11.46,627240,Winners 10,2025-10-10,4,35940.85
REPL,4.63,3226880,Winners 10,2025-10-10,5,74702.27
NVNO,0.92,335600,Winners 10,2025-10-10,6,1538.73
LPTH,9.6,1859600,Winners 10,2025-10-10,7,89260.8
BBAI,7.49,117139860,Winners 10,2025-10-10,8,4386887.76
RGTI,47.11,152517260,Winners 5,2025-10-10,1,35925440.59
APLD,29.29,29439240,Winners 5,2025-10-10,2,4311376.7
ZURA,4.51,1332340,Winners 5,2025-10-10,3,30044.27
CYCC,5.17,1940998,Winners 5,2025-10-10,4,50126.27
SLRX,4.36,528860,Winners 5,2025-10-10,5,11529.15
PEPG,5.03,1146220,Winners 5,2025-10-10,6,28827.43
AMPX,12.81,9171640,Winners 5,2025-10-10,7,587443.54
MVST,4.54,11031060,Winners 5,2025-10-10,8,250405.06
GPRE,9.08,1960680,Loosers 10,2025-10-13,1,89014.87
SMTK,2.1,574060,Loosers 10,2025-10-13,2,6027.63
QNRX,20.5,2820040,Loosers 5,2025-10-13,1,289054.1
NVVE,0.25,1225860,Loosers 5,2025-10-13,2,1550.71
NVTS,8.23,73807840,Random 10,2025-10-13,1,3037192.62
ZENA,5.94,2721360,Random 10,2025-10-13,2,80824.39
WLGS,0.0,640911,Random 5,2025-10-13,1,14.74
ACIU,3.55,471600,Random 5,2025-10-13,2,8370.9
EU,3.37,4411260,Random 5,2025-10-13,3,74329.73
CIIT,0.61,381100,Random 5,2025-10-13,4,1160.45
INTJ,0.48,450060,Random 5,2025-10-13,5,1082.39
PPTA,25.79,4819040,Winners 10,2025-10-13,1,621415.21
SOPA,3.1,44672620,Winners 10,2025-10-13,2,692425.61
FTK,15.2,497880,Winners 10,2025-10-13,3,37838.88
TNFA,3.68,887355,Winners 10,2025-10-13,4,16326.89
QS,14.7,67418460,Winners 10,2025-10-13,5,4955256.81
ATLX,6.3,1180240,Winners 10,2025-10-13,6,37177.56
ATYR,1.06,11986000,Winners 10,2025-10-13,7,63525.8
SMR,39.24,22321280,Winners 10,2025-10-13,8,4379435.14
ZURA,4.15,1403680,Winners 5,2025-10-13,1,29126.36
SLRX,4.08,569220,Winners 5,2025-10-13,2,11612.09
SPCE,4.09,6454720,Winners 5,2025-10-13,3,131999.02
MVST,4.33,11923780,Winners 5,2025-10-13,4,258149.84
HNST,3.72,5161160,Winners 5,2025-10-13,5,95997.58
PRZO,1.65,1316260,Winners 5,2025-10-13,6,10859.15
THH,7.86,1383400,Loosers 10,2025-10-14,1,54367.62
SMMT,22.93,3397880,Loosers 10,2025-10-14,2,389566.94
SPIR,12.78,599260,Loosers 10,2025-10-14,3,38292.71
ARVN,9.8,2508560,Loosers 10,2025-10-14,4,122919.44
GTBP,0.74,15858580,Loosers 10,2025-10-14,5,58518.16
KYTX,6.93,1828060,Loosers 10,2025-10-14,6,63342.28
COCH,0.9,32878280,Loosers 10,2025-10-14,7,147623.48
NCNA,5.78,936420,Loosers 5,2025-10-14,1,27062.54
EVAX,6.26,920320,Loosers 5,2025-10-14,2,28806.02
NPWR,3.93,3411980,Loosers 5,2025-10-14,3,67045.41
VTYX,3.71,1415140,Loosers 5,2025-10-14,4,26250.85
ULY,3.17,3805240,Loosers 5,2025-10-14,5,60313.05
BTOG,0.44,6267400,Loosers 5,2025-10-14,6,13913.63
PLRX,1.49,1132280,Loosers 5,2025-10-14,7,8435.49
IREN,64.14,62457220,Random 10,2025-10-14,1,20030030.45
NVTS,9.97,95511100,Random 10,2025-10-14,2,4761228.34
SHLS,9.25,7501260,Random 10,2025-10-14,3,346933.28
BTDR,20.45,9326760,Random 10,2025-10-14,4,953661.21
MRVI,3.3,2701680,Random 10,2025-10-14,5,44577.72
ATOM,4.85,492340,Random 10,2025-10-14,6,11939.25
ORLA,11.49,1727100,Random 10,2025-10-14,7,99221.9
NKTX,2.26,1598560,Random 10,2025-10-14,8,18063.73
UPC,6.0,4927880,Random 5,2025-10-14,1,147836.4
CIFR,20.34,60001120,Random 5,2025-10-14,2,6102113.9
RCAT,15.38,17087980,Random 5,2025-10-14,3,1314065.66
SLDP,6.3,21860100,Random 5,2025-10-14,4,688593.15
ANIX,4.52,726800,Random 5,2025-10-14,5,16425.68
RR,6.45,61511860,Random 5,2025-10-14,6,1983757.49
LWLG,5.44,3070260,Random 5,2025-10-14,7,83511.07
KULR,5.3,3862160,Random 5,2025-10-14,8,102347.24
IONR,7.41,1021200,Winners 10,2025-10-14,1,37835.46
BZAI,4.9,3339080,Winners 10,2025-10-14,2,81807.46
LAC,8.43,72738900,Winners 10,2025-10-14,3,3065944.64
CEPU,9.46,458540,Winners 10,2025-10-14,4,21688.94
TAOX,9.54,432020,Winners 10,2025-10-14,5,20607.35
ENTA,11.49,461320,Winners 10,2025-10-14,6,26502.83
ONDS,10.81,51661380,Winners 10,2025-10-14,7,2792297.59
TNFA,3.89,697542,Winners 10,2025-10-14,8,13567.19
RGTI,54.91,163202220,Winners 5,2025-10-14,1,44807169.5
NEON,3.63,528220,Winners 5,2025-10-14,2,9587.19
INDP,4.03,1589140,Winners 5,2025-10-14,3,32021.17
TMC,10.69,22834700,Winners 5,2025-10-14,4,1220514.72
WAI,3.89,3444180,Winners 5,2025-10-14,5,66989.3
CYCC,5.95,2198502,Winners 5,2025-10-14,6,65405.43
TSHA,5.05,4777840,Winners 5,2025-10-14,7,120640.46
SLRX,3.96,642180,Winners 5,2025-10-14,8,12715.16
THH,7.89,1175980,Loosers 10,2025-10-15,1,46392.41
DAVA,8.58,999440,Loosers 10,2025-10-15,2,42875.98
SPIR,13.24,584660,Loosers 10,2025-10-15,3,38704.49
KYTX,6.76,1836480,Loosers 10,2025-10-15,4,62073.02
APVO,1.63,3275860,Loosers 10,2025-10-15,5,26698.26
ARRY,9.07,5612100,Loosers 10,2025-10-15,6,254508.74
JSPR,2.51,361220,Loosers 10,2025-10-15,7,4533.31
GPRE,11.16,2094260,Loosers 10,2025-10-15,8,116859.71
EVAX,7.84,709560,Loosers 5,2025-10-15,1,27814.75
NPWR,4.82,3919700,Loosers 5,2025-10-15,2,94464.77
BNGO,2.09,601200,Loosers 5,2025-10-15,3,6282.54
CURX,0.68,438020,Loosers 5,2025-10-15,4,1480.51
ARBE,2.64,9115720,Loosers 5,2025-10-15,5,120327.5
BTAI,2.62,1389520,Loosers 5,2025-10-15,6,18202.71
CRBU,2.44,1542900,Loosers 5,2025-10-15,7,18823.38
CMPS,6.84,2017900,Loosers 5,2025-10-15,8,69012.18
IREN,69.56,57596080,Random 10,2025-10-15,1,20031916.62
BTDR,20.12,9141500,Random 10,2025-10-15,2,919634.9
RXRX,5.89,73296080,Random 10,2025-10-15,3,2158569.56
COYA,7.2,314260,Random 10,2025-10-15,4,11313.36
NNOX,4.12,1440360,Random 10,2025-10-15,5,29671.42
AUTL,1.62,3854020,Random 10,2025-10-15,6,31217.56
ATOM,4.97,473140,Random 10,2025-10-15,7,11757.53
POET,9.05,32030500,Random 5,2025-10-15,1,1449380.12
HIVE,6.92,41605760,Random 5,2025-10-15,2,1439559.3
SLDP,6.94,21536040,Random 5,2025-10-15,3,747300.59
UPC,6.35,4733780,Random 5,2025-10-15,4,150297.52
RR,6.73,65441620,Random 5,2025-10-15,5,2202110.51
KULR,5.18,3766440,Random 5,2025-10-15,6,97550.8
ABSI,3.9,7014000,Random 5,2025-10-15,7,136773.0
ABOS,2.33,622920,Random 5,2025-10-15,8,7257.02
ACXP,7.59,5339500,Winners 10,2025-10-15,1,202634.02
FGNX,4.3,708380,Winners 10,2025-10-15,2,15230.17
ANGX,7.4,874780,Winners 10,2025-10-15,3,32366.86
ATYR,1.04,12335280,Winners 10,2025-10-15,4,64143.46
SOPA,2.94,1770460,Winners 10,2025-10-15,5,26025.76
BZAI,5.01,2556720,Winners 10,2025-10-15,6,64045.84
LAC,10.05,84125540,Winners 10,2025-10-15,7,4227308.39
PALI,1.85,10949560,Winners 10,2025-10-15,8,101283.43
SPRB,176.91,355380,Winners 5,2025-10-15,1,314351.38
XBIO,5.07,9966660,Winners 5,2025-10-15,2,252654.83
