date,XLB - Basic Materials,XLC - Communication Services,XLE - Energy,XLF - Financial Services,XLI - Industrials,XLK - Technology,XLP - Consumer Defensive,XLRE - Real Estate,XLU - Utilities,XLV - Healthcare,XLY - Consumer Cyclical
2025-11-06,41.65,111.03,42.91,51.60,150.87,143.84,73.58,39.34,43.00,143.54,116.79
2025-11-07,42.15,110.74,43.53,51.96,151.60,143.34,74.66,39.86,43.60,143.74,116.97
2025-11-10,42.55,111.89,43.92,52.15,152.46,147.01,74.39,39.83,43.59,144.86,118.51
2025-11-11,42.99,112.80,44.50,52.38,152.50,145.76,75.36,40.28,43.61,148.20,118.80
2025-11-12,43.29,112.15,43.87,52.84,152.65,146.21,75.25,39.96,43.71,150.31,118.00
2025-11-13,43.01,110.56,43.99,52.16,150.28,142.56,75.25,39.44,43.11,150.23,115.06
2025-11-14,42.61,109.97,44.73,51.64,150.29,143.34,75.20,39.55,43.15,149.33,114.50
2025-11-17,41.97,109.82,43.92,50.65,148.82,141.10,74.72,39.29,43.54,149.21,113.43
2025-11-18,42.00,110.44,44.27,50.57,148.16,138.80,75.04,39.44,43.37,150.08,111.34
2025-11-19,42.11,109.83,43.69,50.76,148.65,139.77,74.47,39.13,43.01,149.83,111.34
2025-11-20,41.48,108.62,43.20,50.32,146.16,135.38,75.00,38.99,42.79,148.93,109.68
2025-11-21,42.41,110.53,43.47,50.87,147.94,135.90,75.82,39.51,42.85,152.07,111.83
2025-11-24,42.49,111.63,43.35,51.08,148.30,139.14,74.94,39.56,43.34,152.71,113.32
2025-11-25,43.13,112.90,43.08,51.72,150.20,139.51,75.97,39.88,43.17,156.16,115.75
2025-11-26,43.66,113.06,43.40,52.13,151.07,141.17,76.80,40.06,43.75,155.82,116.54
2025-11-28,43.91,113.98,43.97,52.50,151.95,142.38,77.25,40.25,44.06,155.06,117.27
2025-12-01,43.80,113.45,44.39,52.07,149.73,142.44,77.17,39.69,43.03,152.74,117.34
2025-12-02,43.40,113.82,43.82,52.02,151.03,143.91,76.67,39.59,42.72,151.82,117.26
2025-12-03,43.71,113.72,44.64,52.72,152.47,144.26,76.72,39.67,42.59,152.53,118.52
2025-12-04,43.45,114.37,44.83,52.83,153.26,144.79,76.35,39.60,42.50,151.37,118.10
2025-12-05,43.31,115.70,44.65,52.85,152.83,145.85,76.36,39.59,42.10,150.74,118.75
2025-12-08,42.71,114.84,44.16,52.65,152.65,146.88,75.73,39.35,41.54,148.94,117.03
2025-12-09,42.62,114.97,44.43,52.45,151.53,147.26,75.91,39.12,41.56,147.50,117.02
2025-12-10,43.45,115.64,44.90,53.05,154.30,147.97,76.13,39.20,41.55,149.64,118.74
2025-12-11,44.32,115.38,44.69,54.02,155.95,147.21,76.70,39.41,41.85,151.06,119.20
2025-12-12,44.35,115.12,44.25,54.10,154.97,142.96,77.30,39.36,41.64,151.53,119.72
2025-12-15,44.32,115.14,43.94,54.14,155.22,141.57,77.51,39.52,42.02,153.53,120.74
2025-12-16,44.20,115.22,42.60,53.79,154.30,141.83,77.16,39.17,41.85,151.54,120.94
2025-12-17,44.39,114.39,43.54,53.78,151.79,138.68,77.52,39.34,41.57,151.26,119.54
2025-12-18,44.37,115.05,42.91,53.69,152.78,140.82,77.07,39.10,41.98,151.38,121.34
2025-12-19,44.56,115.09,42.91,53.99,154.10,143.86,76.68,38.96,41.45,152.39,120.86
2025-12-22,45.09,115.61,43.35,54.65,155.81,144.64,76.41,39.24,41.60,153.40,121.58
2025-12-23,45.17,116.33,43.64,54.76,155.75,145.43,76.04,39.23,41.75,153.09,121.42
2025-12-24,45.26,117.02,43.51,55.06,156.25,145.77,76.64,39.49,41.93,153.89,121.83
2025-12-26,45.53,116.90,43.34,54.95,155.97,146.00,76.75,39.57,41.91,154.14,121.30
2025-12-29,45.16,116.83,43.75,54.65,155.63,145.35,76.80,39.67,41.98,153.90,120.10
2025-12-30,45.15,117.22,44.09,54.51,155.18,144.89,76.67,39.76,42.08,153.77,119.62
2025-12-31,44.77,116.66,43.84,54.11,153.89,143.45,76.21,39.40,41.82,152.90,118.67
2026-01-02,45.54,115.84,44.76,54.27,156.73,143.78,76.22,39.43,42.30,153.61,117.62
2026-01-05,45.99,116.69,45.98,55.45,158.58,144.10,75.89,39.48,41.83,153.14,119.56
2026-01-06,46.90,116.27,44.75,55.72,160.74,146.12,76.01,39.74,42.03,156.15,120.32
2026-01-07,46.09,116.03,44.25,54.94,157.71,146.00,75.17,39.20,41.01,157.70,120.15
2026-01-08,46.90,116.42,45.65,55.22,158.90,143.72,76.96,39.49,41.13,156.18,122.16
2026-01-09,47.65,116.84,45.76,55.06,160.65,145.62,77.75,39.55,41.64,155.38,123.64
2026-01-12,47.90,116.49,45.44,54.62,161.88,146.26,78.66,39.66,41.71,155.45,123.75
2026-01-13,48.11,115.83,46.09,53.57,162.71,145.95,79.58,39.97,41.97,154.82,123.44
2026-01-14,48.13,115.59,47.13,53.50,162.97,144.18,80.68,40.42,42.29,155.93,121.49
2026-01-15,48.34,115.16,46.68,53.71,164.47,144.94,80.81,40.72,42.72,155.04,121.94
2026-01-16,48.06,114.13,46.76,53.78,165.58,145.10,80.56,41.22,42.50,153.83,121.54
2026-01-20,47.58,112.44,46.67,52.56,162.24,141.33,80.80,40.43,42.08,153.50,118.38
2026-01-21,48.62,113.59,47.80,52.81,165.04,143.29,80.88,40.57,42.14,156.32,120.65
2026-01-22,48.89,115.20,47.96,53.16,164.19,144.36,80.71,40.17,41.84,156.35,121.86
2026-01-23,49.34,115.90,48.23,52.43,162.92,144.57,81.34,40.28,41.69,155.55,122.37
2026-01-26,49.40,116.71,48.26,52.76,163.08,145.55,81.22,40.25,41.99,156.16,121.56
2026-01-27,49.35,115.84,48.70,52.36,163.75,147.52,81.59,40.28,42.54,153.55,121.93
2026-01-28,49.32,115.70,49.08,52.35,162.84,148.69,80.76,39.89,42.44,152.42,121.02
2026-01-29,49.37,118.71,49.53,52.90,164.55,146.34,80.58,40.40,42.44,151.94,120.44
2026-01-30,48.65,119.00,50.06,52.79,164.13,143.36,81.93,40.46,42.37,152.84,120.42
2026-02-02,49.02,118.59,49.08,53.38,166.20,144.74,82.90,40.00,41.75,153.78,121.22
2026-02-03,50.06,116.68,50.67,52.88,167.60,141.57,84.25,39.85,42.36,152.21,120.24
2026-02-04,51.23,115.74,51.80,53.31,168.05,137.62,85.35,40.48,42.20,154.12,119.36
2026-02-05,49.86,115.16,51.20,52.65,167.04,135.14,85.28,40.26,42.22,152.94,116.78
2026-02-06,50.86,114.71,52.22,53.60,171.81,140.62,86.28,41.00,42.46,155.78,117.26
2026-02-09,51.52,115.82,52.60,53.29,172.33,142.83,85.78,41.26,42.59,154.41,116.82
2026-02-10,52.24,116.52,52.54,52.90,172.53,142.04,85.50,41.83,43.30,153.43,117.60
2026-02-11,52.94,115.69,53.91,52.10,173.46,142.46,86.73,41.79,43.68,154.34,117.03
2026-02-12,52.16,113.60,52.93,51.07,171.38,138.71,87.52,41.86,44.32,154.09,115.41
2026-02-13,52.63,113.54,53.29,51.03,172.79,139.06,87.82,42.48,45.55,155.74,115.46
2026-02-17,52.03,113.37,52.71,51.57,173.69,138.98,86.53,42.91,45.43,155.44,115.32
2026-02-18,52.35,113.55,53.72,51.95,173.65,140.40,86.38,42.33,44.68,155.74,116.30
2026-02-19,52.16,114.10,54.11,51.52,174.94,139.71,86.01,42.18,45.17,155.33,115.52
2026-02-20,52.29,115.74,53.81,51.86,175.83,140.37,86.23,42.54,45.38,154.90,116.72
2026-02-23,52.29,114.32,54.08,50.12,173.45,138.02,87.29,42.58,45.73,156.60,114.28
2026-02-24,52.68,115.11,54.03,50.36,175.58,139.82,88.04,42.70,46.23,155.94,116.02
2026-02-25,52.39,115.45,53.80,51.24,174.21,142.50,87.33,42.42,46.39,155.90,116.37
2026-02-26,52.33,115.67,53.98,51.87,175.30,140.50,87.18,42.60,46.22,155.49,116.33
2026-02-27,52.73,116.98,54.83,50.81,175.74,138.26,88.31,42.81,46.75,158.24,116.14
2026-03-02,52.57,116.81,55.93,50.68,177.48,139.04,87.03,42.89,46.40,156.59,114.71
2026-03-03,51.28,116.89,55.42,50.59,174.05,137.01,86.08,42.67,46.11,154.82,113.65
2026-03-04,51.26,117.72,55.10,50.88,174.58,139.34,85.51,42.73,46.30,155.13,115.67
2026-03-05,50.19,117.37,55.38,50.61,170.70,139.68,83.80,42.32,45.94,152.03,115.83
2026-03-06,49.23,116.40,55.47,49.96,168.59,136.80,84.16,41.88,45.78,150.83,113.73
2026-03-09,49.36,116.50,55.23,49.72,169.59,139.26,84.35,41.97,45.89,152.37,113.88
2026-03-10,49.25,116.32,54.52,49.46,168.67,139.26,84.10,41.91,45.61,151.27,113.73
2026-03-11,49.21,115.94,55.87,49.04,168.15,139.93,82.99,41.41,45.23,150.98,113.43
2026-03-12,49.05,114.23,56.39,48.24,163.93,137.34,82.66,41.15,45.55,148.32,110.83
2026-03-13,48.57,113.42,56.58,48.30,163.35,136.31,83.14,41.26,46.00,147.96,110.18
2026-03-16,48.77,114.29,56.77,48.70,164.75,138.28,83.37,41.58,46.29,149.16,111.51
2026-03-17,48.89,114.33,57.37,48.96,165.18,139.04,83.10,41.72,46.17,147.81,112.48
2026-03-18,47.87,112.63,57.29,48.38,163.87,137.46,81.08,41.03,45.77,145.34,109.89
2026-03-19,47.13,112.12,58.21,48.40,162.76,137.93,80.42,40.93,45.59,144.81,109.02
2026-03-20,46.38,111.22,58.16,48.49,160.39,134.80,79.75,39.64,43.74,143.55,107.07
2026-03-23,47.16,112.05,58.85,48.92,162.21,136.63,80.09,39.93,44.17,143.58,109.66
2026-03-24,48.05,110.48,60.05,48.93,163.16,135.83,80.02,39.61,44.48,143.60,109.22
2026-03-25,49.00,110.79,59.78,48.99,164.25,136.44,80.42,39.59,44.63,145.04,110.27
2026-03-26,48.68,108.17,60.72,48.71,160.44,132.19,80.05,39.61,44.71,144.55,108.37
2026-03-27,48.50,106.41,61.75,47.48,158.38,129.61,80.69,39.33,44.97,142.09,105.24
2026-03-30,48.68,107.33,61.15,48.02,155.81,127.20,80.78,39.53,45.30,142.64,105.22
2026-03-31,49.56,110.21,60.46,49.02,160.90,132.59,80.88,40.14,45.27,145.41,108.52
2026-04-01,50.04,110.59,58.20,49.09,163.59,134.59,80.37,40.26,45.48,146.52,109.34
2026-04-02,49.99,111.04,58.48,49.18,162.93,135.67,80.79,40.90,45.71,145.61,107.70
2026-04-06,49.80,111.10,58.90,49.53,163.77,136.46,81.55,41.05,45.54,145.08,108.58
2026-04-07,49.66,111.16,59.38,49.53,163.44,137.11,80.17,41.01,45.64,145.37,107.32
2026-04-08,51.32,113.14,57.29,50.84,169.57,141.36,81.67,41.72,46.14,148.44,110.36
2026-04-09,51.24,113.60,56.58,50.97,171.31,141.74,82.33,42.01,46.51,148.11,112.27
2026-04-10,51.53,113.28,56.20,50.41,170.64,142.28,81.27,42.09,46.32,146.10,112.42
2026-04-13,51.76,114.15,56.37,51.30,171.84,145.27,80.46,42.29,45.76,146.76,113.44
2026-04-14,51.58,115.88,55.22,51.42,172.46,147.59,80.38,42.69,45.84,147.61,115.95
2026-04-15,50.95,116.67,55.03,51.80,170.30,149.95,79.98,42.67,45.39,146.56,117.69
2026-04-16,51.32,118.13,55.84,51.67,169.46,151.66,80.34,43.07,45.72,145.41,117.14
2026-04-17,51.45,118.40,54.30,52.06,172.62,153.99,81.36,43.73,45.53,147.58,119.91
2026-04-20,51.80,118.05,54.35,52.26,173.01,154.20,81.29,43.88,45.13,146.21,119.37
2026-04-21,51.34,116.47,55.14,51.93,170.56,154.33,80.75,43.04,44.34,144.73,118.47
2026-04-22,51.40,117.19,55.80,51.84,170.16,157.72,81.01,42.72,44.26,145.18,118.43
2026-04-23,51.38,116.70,56.24,51.44,173.18,155.47,82.36,43.21,45.46,145.04,117.25
2026-04-24,51.49,114.86,56.13,51.06,171.59,159.84,82.12,43.09,45.55,143.00,118.19
2026-04-27,51.35,115.13,56.03,51.45,171.63,160.19,81.24,42.75,45.56,142.29,117.35
2026-04-28,50.97,115.07,56.96,51.49,170.10,157.48,81.97,43.17,45.62,142.66,116.52
2026-04-29,50.54,114.61,58.26,51.56,169.06,158.74,81.81,42.90,45.06,141.67,116.35
2026-04-30,51.04,115.83,58.87,51.76,173.68,159.12,83.18,43.65,46.21,144.79,117.86
2026-05-01,50.92,116.03,58.08,51.56,172.07,161.49,83.04,43.57,45.92,143.97,118.13
2026-05-04,50.23,115.42,58.62,51.22,170.10,161.67,82.42,43.33,45.74,143.55,117.23
2026-05-05,51.10,114.95,58.68,51.23,171.53,165.24,82.94,43.42,45.74,144.11,117.58
2026-05-06,51.98,116.66,56.26,51.48,175.96,169.63,83.11,43.98,45.09,144.21,119.37
2026-05-07,50.97,116.69,55.22,51.19,173.11,169.29,82.86,43.65,44.51,143.54,119.38
2026-05-08,51.16,116.25,54.97,50.88,172.31,175.11,83.05,43.66,44.11,142.32,119.70
2026-05-11,51.83,114.90,56.43,50.82,174.14,177.46,82.25,43.81,44.53,141.87,118.87
2026-05-12,51.71,115.18,56.82,51.22,173.46,174.79,83.31,43.82,44.58,144.66,117.80
2026-05-13,51.63,116.07,56.88,50.63,172.73,176.43,83.59,43.46,44.06,145.51,118.22
2026-05-14,51.24,116.42,57.31,50.93,173.62,179.08,83.84,43.17,44.29,145.43,118.17
2026-05-15,49.88,115.40,58.67,50.74,170.52,175.84,83.51,42.50,43.27,143.91,116.04
2026-05-18,49.80,116.29,59.79,51.38,169.87,173.95,84.75,43.01,43.34,144.53,115.83
2026-05-19,48.63,115.17,60.49,50.74,167.87,172.83,84.94,43.19,43.74,146.11,114.55
2026-05-20,49.31,115.42,59.02,51.30,169.85,176.72,84.38,43.68,43.90,145.93,117.45
2026-05-21,49.61,115.42,58.36,51.37,169.66,178.18,83.53,43.75,44.39,146.94,118.20
2026-05-22,49.87,114.78,58.72,51.58,170.89,179.97,83.67,43.80,44.73,148.66,118.68
2026-05-26,50.57,114.87,57.10,51.49,173.41,184.70,82.51,43.95,44.71,147.29,118.95
2026-05-27,50.76,115.58,56.25,51.06,173.41,184.00,83.45,43.87,44.53,147.57,121.04
2026-05-28,50.93,115.99,56.21,50.91,172.91,186.41,83.30,43.66,44.02,149.64,121.55
2026-05-29,50.73,115.01,55.56,51.22,172.24,190.57,81.80,43.24,43.82,148.25,120.36
2026-06-01,50.50,114.93,56.55,51.07,171.52,195.30,80.93,42.54,42.51,146.63,117.70
2026-06-02,51.09,112.90,57.20,51.10,173.30,197.74,80.74,42.75,43.30,145.20,117.10
2026-06-03,51.20,111.42,57.95,50.51,173.16,195.77,81.06,42.77,43.12,146.34,116.24
2026-06-04,51.19,112.45,57.98,51.82,175.26,192.72,80.94,43.65,43.34,150.83,116.77
2026-06-05,50.21,111.01,56.92,51.93,173.29,179.88,82.32,43.94,43.75,151.76,114.38
2026-06-08,49.55,110.44,57.57,51.61,172.74,183.75,81.96,43.28,42.93,151.40,114.91
2026-06-09,50.35,110.83,56.64,52.09,174.70,180.34,82.97,44.21,43.38,153.30,115.39
2026-06-10,49.19,110.36,57.49,51.86,168.79,176.21,84.35,44.23,43.40,151.60,113.02
2026-06-11,50.80,111.46,56.38,52.25,174.25,182.78,84.13,44.16,43.45,152.83,115.81
2026-06-12,51.75,110.99,56.80,52.97,175.28,184.36,84.67,44.59,43.92,152.55,116.11
2026-06-15,52.06,111.53,54.83,53.18,177.76,191.34,84.34,44.23,44.13,151.64,118.07
2026-06-16,52.28,111.66,54.64,53.97,178.93,186.00,84.44,44.34,44.45,151.69,117.96
2026-06-17,51.59,108.56,53.96,53.67,178.68,185.36,82.56,43.22,43.86,149.48,115.01
2026-06-18,51.38,108.81,53.07,53.19,179.98,190.99,82.19,43.12,44.15,148.18,116.67
2026-06-22,51.38,106.51,53.74,53.51,181.31,191.93,81.64,43.65,44.39,149.49,114.69
2026-06-23,50.64,106.92,54.14,53.69,177.67,183.98,83.17,44.27,44.74,151.60,113.51
2026-06-24,50.93,106.19,53.25,53.53,179.73,182.84,83.89,44.14,45.21,152.77,114.82
2026-06-25,51.60,105.23,53.77,53.26,183.63,184.35,83.39,44.22,45.52,155.04,113.10
2026-06-26,51.36,105.83,53.52,53.38,180.71,180.90,84.16,44.86,45.86,159.73,114.12
2026-06-29,50.43,107.53,53.26,53.53,182.27,185.19,83.82,44.55,45.68,160.13,116.86
2026-06-30,50.60,106.78,52.80,53.42,184.73,190.30,82.53,43.66,45.01,158.06,117.02
2026-07-01,50.79,109.38,52.50,54.59,182.87,185.40,82.76,43.81,44.44,158.93,117.83
2026-07-02,51.77,109.24,52.91,55.42,183.42,180.38,84.43,44.31,45.43,163.12,116.86
2026-07-06,51.74,109.85,52.82,55.94,185.06,183.36,83.55,43.92,44.97,161.34,117.75
2026-07-07,51.27,110.66,54.32,55.85,181.89,178.97,84.31,44.52,45.37,163.81,117.13
2026-07-08,49.93,109.10,55.27,54.78,179.94,181.19,83.84,43.78,45.03,161.68,115.05
2026-07-09,50.03,110.15,54.50,55.34,180.62,185.13,82.66,43.86,44.80,161.55,116.59
2026-07-10,50.66,111.27,54.75,55.51,181.43,185.56,83.57,44.08,45.08,160.23,116.98
2026-07-13,50.35,111.22,56.40,55.87,179.89,181.07,84.04,44.33,45.39,160.79,115.78
2026-07-14,50.41,111.08,56.61,55.98,179.97,183.41,82.87,44.11,45.36,157.69,115.65
2026-07-15,50.27,113.01,56.17,56.36,179.58,181.37,82.92,44.19,44.89,157.69,116.74
2026-07-16,50.66,112.28,56.68,56.55,179.67,177.31,85.25,45.08,45.14,161.18,117.08
2026-07-17,50.30,110.29,57.34,56.06,178.93,175.39,84.63,45.04,44.84,160.48,115.19
2026-07-20,49.80,110.44,57.60,55.84,177.64,175.51,84.31,44.85,44.61,158.64,114.36
2026-07-21,49.87,109.67,58.15,55.91,178.18,180.57,83.51,44.82,44.59,159.64,114.62
2026-07-22,50.59,108.84,58.85,55.85,178.37,180.06,83.83,44.63,45.59,158.82,113.77
2026-07-23,50.06,105.03,59.03,55.63,181.45,178.24,82.67,44.57,45.85,160.82,108.52
2026-07-24,51.03,105.95,59.27,56.11,182.17,175.67,83.58,45.57,45.95,161.95,109.17
2026-07-27,51.15,107.31,58.02,56.68,182.71,174.10,84.80,45.38,45.35,162.78,110.60
2026-07-28,52.10,109.31,57.23,57.40,182.00,170.89,86.49,45.63,45.19,166.62,112.23
2026-07-29,51.50,109.15,58.30,56.48,176.19,166.38,86.79,45.58,44.58,165.61,111.36
2026-07-30,51.40,106.23,58.61,56.80,177.91,175.53,84.91,44.92,44.33,162.90,112.14
2026-07-31,50.20,107.88,59.20,56.74,179.36,175.15,84.49,44.69,44.03,161.93,115.83
2026-08-03,50.78,110.97,58.44,57.18,182.67,177.83,84.31,44.80,44.04,161.62,117.95
2026-08-04,51.76,111.67,58.17,57.68,185.90,186.68,84.81,44.79,43.79,161.48,118.03
2026-08-05,52.40,110.51,56.97,57.80,185.85,185.69,84.77,44.82,43.34,163.53,118.38
2026-08-06,51.93,110.81,57.82,57.61,184.26,185.11,84.55,44.44,43.06,163.82,117.84
2026-08-07,52.62,110.88,57.16,57.40,184.68,187.75,84.56,44.60,43.29,165.05,119.60
2026-08-10,52.94,111.46,59.82,57.61,184.11,186.10,84.39,44.03,42.82,167.80,119.41
2026-08-11,53.00,110.90,60.57,57.60,185.20,185.87,84.14,43.71,43.31,167.37,118.98
2026-08-12,52.34,109.91,60.67,57.72,185.38,188.64,84.52,44.12,43.52,167.80,117.63
2026-08-13,52.07,112.18,60.70,58.05,185.29,190.55,85.44,44.74,43.72,167.74,118.19
2026-08-14,52.30,112.58,61.54,57.95,186.01,189.79,85.53,44.89,43.99,166.73,117.94
2026-08-17,52.00,110.46,62.21,57.38,185.82,190.10,84.13,44.46,43.86,166.41,116.49
2026-08-18,51.54,110.12,63.30,57.64,183.08,185.40,85.02,44.26,43.70,169.08,116.10
2026-08-19,52.28,110.95,63.20,57.28,181.46,183.43,85.97,44.61,43.70,175.01,118.33
2026-08-20,52.18,110.32,63.37,56.75,179.29,182.89,84.76,44.70,43.45,171.73,116.42
2026-08-21,53.29,111.03,63.26,57.28,179.77,183.10,85.43,44.70,42.46,173.95,117.76
2026-08-24,53.33,111.95,62.74,58.01,178.52,179.84,86.88,44.95,42.90,174.03,118.04
2026-08-25,53.33,112.81,61.69,58.10,177.92,181.53,85.95,44.98,42.99,174.62,117.69
2026-08-26,53.42,112.24,62.06,58.05,179.86,182.63,85.71,44.71,43.19,172.88,116.90
2026-08-27,52.99,111.04,61.92,57.68,178.32,188.39,84.52,44.29,42.86,170.93,115.63
2026-08-28,52.94,112.62,62.31,57.90,176.67,185.47,84.89,44.11,42.42,170.51,116.95
2026-08-31,52.45,111.09,63.58,57.51,174.66,186.28,84.42,43.74,41.92,169.89,116.33
2026-09-01,51.83,110.52,64.39,57.00,172.27,183.43,84.69,43.67,42.25,171.02,114.34
2026-09-02,52.71,112.05,64.72,57.46,172.32,183.39,84.97,43.36,42.36,172.29,114.61
2026-09-03,52.38,113.01,64.24,58.35,174.09,185.75,84.70,43.88,42.72,172.60,116.20
2026-09-04,52.20,111.66,63.68,57.90,174.80,187.06,84.03,43.56,42.77,170.80,114.66
2026-09-08,51.70,111.15,64.39,57.10,173.95,187.65,83.47,43.53,43.13,166.49,113.74
2026-09-09,51.15,110.47,64.92,56.86,171.33,187.65,82.51,43.05,42.63,165.94,112.21
2026-09-10,50.53,111.13,64.55,56.67,170.09,185.00,82.55,42.69,42.21,165.03,111.71
2026-09-11,50.72,112.23,64.76,57.05,171.91,187.45,82.84,43.06,42.08,164.73,112.71
2026-09-14,50.26,114.69,64.15,56.83,169.47,184.07,83.87,42.76,41.51,167.11,112.60
2026-09-15,50.50,113.66,65.54,56.65,168.40,183.53,83.18,42.71,41.02,167.02,110.64
2026-09-16,50.13,112.63,63.65,55.73,168.26,183.72,82.79,42.45,41.02,167.13,109.94
2026-09-17,50.48,111.98,64.10,55.68,168.56,187.84,82.94,42.58,41.39,168.17,111.15
2026-09-18,49.76,110.45,63.93,55.66,169.29,189.38,82.26,42.17,40.80,167.75,110.79
2026-09-21,49.71,114.75,62.46,55.90,169.98,194.85,81.92,42.59,40.66,169.01,112.23
2026-09-22,50.53,113.53,61.78,54.80,170.27,196.27,82.73,42.50,40.53,169.89,112.33
2026-09-23,50.28,112.56,62.37,54.54,170.10,195.34,82.43,41.84,39.75,168.80,110.65
2026-09-24,49.68,113.99,62.60,54.53,168.83,194.71,81.70,41.65,39.36,169.87,110.32
2026-09-25,49.79,112.93,62.06,54.83,170.42,196.25,82.08,41.56,39.53,170.71,110.56
